company,dep_date,arr_date,das,trip,drag,drag_all,drag_date,day,month,year,zone,drag_period,drag_time_s,drag_time_e,time_fished_min,hrs_dec,depth,depth_sd,id_status,com_status,order,family,class,total_catch_cat,total_catch_spp,categories,sci_name,alpha_code,com_name,sample_wt_lbs,total_wt_lbs
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Paralonchurus brasiliensis,RLB,Banded croaker,0.5,1.26
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Macrodon ancylodon,WKK,Bangamary,3,7.58
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Decapoda,Malacostraca,Malacostraca,Discarded catch,Bycatch species,Shell fish,Hepatus gronovii,HGV,Box crab,0.7,1.77
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Nebris microps,NBM,Butterfish,3,7.58
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Siluriformes,Ariidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Bagre bagre,BEB,Catfish,4.3,10.87
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Lonchurus elegans,RLE,Chinese butterfish,6.3,15.93
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Stellifer microps,EFM,Croaker lm,12,30.34
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Stellifer rastrifer,EFR,Croaker rm,20,50.57
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Pleuronectiformes,Achiridae,Actinopterygii,Discarded catch,Bycatch species,Flat fish,Achirus achirus,HIK,Drab sole,0.75,1.9
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Not applicable,Not applicable,Not applicable,Incidental catch,Bycatch species,Bony fish,Multiple species finfish,Not applicable,Finfish,0,10.83
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Unknown,Unknown,Unknown,Discarded catch,Bycatch species,Other,Scyphozoa sp.,NA,Jelly fish,0.5,1.26
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Stomatopoda,Squillidae,Malacostraca,Discarded catch,Bycatch species,Shell fish,Squilla mantis,MTS,Mantis shrimp,0.7,1.77
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Batrachoidiformes,Batrachoididae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Batrachoides surinamensis,TFB,Pacu,2.5,6.32
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Not applicable,Not applicable,Not applicable,Incidental catch,Bycatch species,Shell fish,Multiple species prawns,Not applicable,Prawns,0,3
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Decapoda,Penaeidae,Malacostraca,Target catch,Target species,Shell fish,Xiphopenaeus kroyeri,BOB,Seabob,0,340
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Cynoscion virescens,YNV,Seatrout,5,12.64
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Anguilliformes,Muraenidae,Actinopterygii,Discarded catch,Bycatch species,Other,Gymnothorax ocellatus,AMW,Sharpteeth eel,0.56,1.42
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,Yes,Decapoda,Portunidae,Malacostraca,Discarded catch,Bycatch species,Shell fish,Callinectes ornatus,KLO,Sheriga crab,8,20.23
NHS,14/02/2019,24/02/2019,11,1,1,1,15/02/2019,15,2,2019,6,Day,8:00:00 am,12:00:00 pm,4:00,4,10,Deep,Yes,No,Anguilliformes,Ophichthidae,Actinopterygii,Discarded catch,Bycatch species,Other,Ophichthus gomesii,OOG,Shrimp eel,2,5.06
